MM/DD/YY,HH/MM/SS,Hour,Centigrade,%RH
03/28/24,09:17:53,09:00:00,19.2,59.30%
03/28/24,09:18:53,09:00:00,19.7,45.70%
03/28/24,09:19:53,09:00:00,19.7,43.60%
03/28/24,09:20:53,09:00:00,19.6,43.30%
03/28/24,09:21:53,09:00:00,19.5,41.10%
03/28/24,09:22:53,09:00:00,19.5,42.00%
03/28/24,09:23:53,09:00:00,19.4,41.70%
03/28/24,09:24:53,09:00:00,19.4,41.60%
03/28/24,09:25:53,09:00:00,19.4,41.40%
03/28/24,09:26:53,09:00:00,19.4,41.40%
03/28/24,09:27:53,09:00:00,19.4,41.40%
03/28/24,09:28:53,09:00:00,19.3,41.30%
03/28/24,09:29:53,09:00:00,19.4,41.40%
03/28/24,09:30:53,09:00:00,19.4,41.30%
03/28/24,09:31:53,09:00:00,19.4,41.40%
03/28/24,09:32:53,09:00:00,19.5,41.40%
03/28/24,09:33:53,09:00:00,19.5,41.30%
03/28/24,09:34:53,09:00:00,19.5,41.30%
03/28/24,09:35:53,09:00:00,19.6,41.20%
03/28/24,09:36:53,09:00:00,19.6,41.10%
03/28/24,09:37:53,09:00:00,19.6,41.10%
03/28/24,09:38:53,09:00:00,19.7,41.10%
03/28/24,09:39:53,09:00:00,19.7,40.90%
03/28/24,09:40:53,09:00:00,19.8,40.90%
03/28/24,09:41:53,09:00:00,19.8,40.80%
03/28/24,09:42:53,09:00:00,19.9,40.70%
03/28/24,09:43:53,09:00:00,19.9,40.50%
03/28/24,09:44:53,09:00:00,19.9,40.60%
03/28/24,09:45:53,09:00:00,20,40.50%
03/28/24,09:46:53,09:00:00,20,40.50%
03/28/24,09:47:53,09:00:00,20.1,40.10%
03/28/24,09:48:53,09:00:00,20.1,40.30%
03/28/24,09:49:53,09:00:00,20.1,40.30%
03/28/24,09:50:53,09:00:00,20.1,40.20%
03/28/24,09:51:53,09:00:00,20.2,40.30%
03/28/24,09:52:53,09:00:00,20.2,40.20%
03/28/24,09:53:53,09:00:00,20.3,40.10%
03/28/24,09:54:53,09:00:00,20.3,40.00%
03/28/24,09:55:53,09:00:00,20.3,40.20%
03/28/24,09:56:53,09:00:00,20.4,40.10%
03/28/24,09:57:53,09:00:00,20.4,39.90%
03/28/24,09:58:53,09:00:00,20.4,40.00%
03/28/24,09:59:53,09:00:00,20.5,40.00%
03/28/24,10:00:53,10:00:00,20.5,39.90%
03/28/24,10:01:53,10:00:00,20.6,39.90%
03/28/24,10:02:53,10:00:00,20.5,39.90%
03/28/24,10:03:53,10:00:00,20.6,39.80%
03/28/24,10:04:53,10:00:00,20.6,39.80%
03/28/24,10:05:53,10:00:00,20.6,39.70%
03/28/24,10:06:53,10:00:00,20.6,39.20%
03/28/24,10:07:53,10:00:00,20.7,39.50%
03/28/24,10:08:53,10:00:00,20.7,39.70%
03/28/24,10:09:53,10:00:00,20.7,39.70%
03/28/24,10:10:53,10:00:00,20.7,39.50%
03/28/24,10:11:53,10:00:00,20.8,39.30%
03/28/24,10:12:53,10:00:00,20.8,39.50%
03/28/24,10:13:53,10:00:00,20.8,38.80%
03/28/24,10:14:53,10:00:00,20.8,39.20%
03/28/24,10:15:53,10:00:00,20.9,39.30%
03/28/24,10:16:53,10:00:00,20.9,39.30%
03/28/24,10:17:53,10:00:00,20.9,38.80%
03/28/24,10:18:53,10:00:00,20.9,39.00%
03/28/24,10:19:53,10:00:00,21,39.20%
03/28/24,10:20:53,10:00:00,21,38.90%
03/28/24,10:21:53,10:00:00,21,39.00%
03/28/24,10:22:53,10:00:00,21,39.00%
03/28/24,10:23:53,10:00:00,21,39.20%
03/28/24,10:24:53,10:00:00,21,38.80%
03/28/24,10:25:53,10:00:00,21.1,38.90%
03/28/24,10:26:53,10:00:00,21.1,38.90%
03/28/24,10:27:53,10:00:00,21.1,38.70%
03/28/24,10:28:53,10:00:00,21.1,39.00%
03/28/24,10:29:53,10:00:00,21.1,38.80%
03/28/24,10:30:53,10:00:00,21.2,38.80%
03/28/24,10:31:53,10:00:00,21.2,38.80%
03/28/24,10:32:53,10:00:00,21.2,38.80%
03/28/24,10:33:53,10:00:00,21.2,38.40%
03/28/24,10:34:53,10:00:00,21.2,38.80%
03/28/24,10:35:53,10:00:00,21.2,38.20%
03/28/24,10:36:53,10:00:00,21.2,38.70%
03/28/24,10:37:53,10:00:00,21.2,38.80%
03/28/24,10:38:53,10:00:00,21.2,38.60%
03/28/24,10:39:53,10:00:00,21.3,38.60%
03/28/24,10:40:53,10:00:00,21.3,38.40%
03/28/24,10:41:53,10:00:00,21.3,38.50%
03/28/24,10:42:53,10:00:00,21.3,38.60%
03/28/24,10:43:53,10:00:00,21.3,38.60%
03/28/24,10:44:53,10:00:00,21.3,38.70%
03/28/24,10:45:53,10:00:00,21.3,38.60%
03/28/24,10:46:53,10:00:00,21.3,38.20%
03/28/24,10:47:53,10:00:00,21.3,38.70%
03/28/24,10:48:53,10:00:00,21.3,38.60%
03/28/24,10:49:53,10:00:00,21.4,38.30%
03/28/24,10:50:53,10:00:00,21.3,38.60%
03/28/24,10:51:53,10:00:00,21.3,38.40%
03/28/24,10:52:53,10:00:00,21.3,38.50%
03/28/24,10:53:53,10:00:00,21.4,37.80%
03/28/24,10:54:53,10:00:00,21.4,38.00%
03/28/24,10:55:53,10:00:00,21.4,38.30%
03/28/24,10:56:53,10:00:00,21.4,37.80%
03/28/24,10:57:53,10:00:00,21.4,38.20%
03/28/24,10:58:53,10:00:00,21.4,37.90%
03/28/24,10:59:53,10:00:00,21.4,38.10%
03/28/24,11:00:53,11:00:00,21.4,38.30%
03/28/24,11:01:53,11:00:00,21.4,38.10%
03/28/24,11:02:53,11:00:00,21.4,38.10%
03/28/24,11:03:53,11:00:00,21.4,37.70%
03/28/24,11:04:53,11:00:00,21.5,37.50%
03/28/24,11:05:53,11:00:00,21.4,37.40%
03/28/24,11:06:53,11:00:00,21.5,37.70%
03/28/24,11:07:53,11:00:00,21.5,37.60%
03/28/24,11:08:53,11:00:00,21.5,37.90%
03/28/24,11:09:53,11:00:00,21.5,37.40%
03/28/24,11:10:53,11:00:00,21.5,37.60%
03/28/24,11:11:53,11:00:00,21.5,37.50%
03/28/24,11:12:53,11:00:00,21.5,37.80%
03/28/24,11:13:53,11:00:00,21.5,37.50%
03/28/24,11:14:53,11:00:00,21.5,37.50%
03/28/24,11:15:53,11:00:00,21.5,37.70%
03/28/24,11:16:53,11:00:00,21.5,37.30%
03/28/24,11:17:53,11:00:00,21.5,37.30%
03/28/24,11:18:53,11:00:00,21.5,37.50%
03/28/24,11:19:53,11:00:00,21.6,37.70%
03/28/24,11:20:53,11:00:00,21.6,37.50%
03/28/24,11:21:53,11:00:00,21.6,37.50%
03/28/24,11:22:53,11:00:00,21.6,37.70%
03/28/24,11:23:53,11:00:00,21.6,37.30%
03/28/24,11:24:53,11:00:00,21.6,37.60%
03/28/24,11:25:53,11:00:00,21.6,37.80%
03/28/24,11:26:53,11:00:00,21.6,37.70%
03/28/24,11:27:53,11:00:00,21.6,37.70%
03/28/24,11:28:53,11:00:00,21.6,37.60%
03/28/24,11:29:53,11:00:00,21.7,37.40%
03/28/24,11:30:53,11:00:00,21.7,37.50%
03/28/24,11:31:53,11:00:00,21.7,37.50%
03/28/24,11:32:53,11:00:00,21.7,36.90%
03/28/24,11:33:53,11:00:00,21.7,37.10%
03/28/24,11:34:53,11:00:00,21.7,37.50%
03/28/24,11:35:53,11:00:00,21.7,37.40%
03/28/24,11:36:53,11:00:00,21.7,37.50%
03/28/24,11:37:53,11:00:00,21.7,37.50%
03/28/24,11:38:53,11:00:00,21.7,37.40%
03/28/24,11:39:53,11:00:00,21.7,37.40%
03/28/24,11:40:53,11:00:00,21.7,37.40%
03/28/24,11:41:53,11:00:00,21.7,37.40%
03/28/24,11:42:53,11:00:00,21.8,37.30%
03/28/24,11:43:53,11:00:00,21.8,37.40%
03/28/24,11:44:53,11:00:00,21.8,37.30%
03/28/24,11:45:53,11:00:00,21.8,37.40%
03/28/24,11:46:53,11:00:00,21.8,37.10%
03/28/24,11:47:53,11:00:00,21.8,37.40%
03/28/24,11:48:53,11:00:00,21.8,37.30%
03/28/24,11:49:53,11:00:00,21.8,37.20%
03/28/24,11:50:53,11:00:00,21.8,37.20%
03/28/24,11:51:53,11:00:00,21.8,36.80%
03/28/24,11:52:53,11:00:00,21.8,37.00%
03/28/24,11:53:53,11:00:00,21.8,37.00%
03/28/24,11:54:53,11:00:00,21.8,37.10%
03/28/24,11:55:53,11:00:00,21.9,36.90%
03/28/24,11:56:53,11:00:00,21.9,37.10%
03/28/24,11:57:53,11:00:00,21.9,36.80%
03/28/24,11:58:53,11:00:00,21.9,37.10%
03/28/24,11:59:53,11:00:00,21.9,36.90%
03/28/24,12:00:53,12:00:00,21.9,37.10%
03/28/24,12:01:53,12:00:00,21.9,37.10%
03/28/24,12:02:53,12:00:00,21.9,37.10%
03/28/24,12:03:53,12:00:00,21.9,37.10%
03/28/24,12:04:53,12:00:00,21.9,36.80%
03/28/24,12:05:53,12:00:00,21.9,37.10%
03/28/24,12:06:53,12:00:00,21.9,36.90%
03/28/24,12:07:53,12:00:00,22,37.00%
03/28/24,12:08:53,12:00:00,22,36.60%
03/28/24,12:09:53,12:00:00,22,36.90%
03/28/24,12:10:53,12:00:00,22,36.90%
03/28/24,12:11:53,12:00:00,22,36.90%
03/28/24,12:12:53,12:00:00,22,36.90%
03/28/24,12:13:53,12:00:00,22,36.90%
03/28/24,12:14:53,12:00:00,22,36.90%
03/28/24,12:15:53,12:00:00,22,37.00%
03/28/24,12:16:53,12:00:00,22,37.00%
03/28/24,12:17:53,12:00:00,22,37.00%
03/28/24,12:18:53,12:00:00,22,36.90%
03/28/24,12:19:53,12:00:00,22,36.30%
03/28/24,12:20:53,12:00:00,22,36.90%
03/28/24,12:21:53,12:00:00,22,36.50%
03/28/24,12:22:53,12:00:00,22,36.40%
03/28/24,12:23:53,12:00:00,22,36.80%
03/28/24,12:24:53,12:00:00,22,36.50%
03/28/24,12:25:53,12:00:00,22,36.80%
03/28/24,12:26:53,12:00:00,22,36.90%
03/28/24,12:27:53,12:00:00,22,36.30%
03/28/24,12:28:53,12:00:00,22,36.70%
03/28/24,12:29:53,12:00:00,22,36.10%
03/28/24,12:30:53,12:00:00,22,36.30%
03/28/24,12:31:53,12:00:00,22,36.10%
03/28/24,12:32:53,12:00:00,22,36.40%
03/28/24,12:33:53,12:00:00,22,36.30%
03/28/24,12:34:53,12:00:00,22,36.60%
03/28/24,12:35:53,12:00:00,22,36.20%
03/28/24,12:36:53,12:00:00,22,36.60%
03/28/24,12:37:53,12:00:00,22.1,36.50%
03/28/24,12:38:53,12:00:00,22,36.00%
03/28/24,12:39:53,12:00:00,22.1,36.20%
03/28/24,12:40:53,12:00:00,22.1,36.40%
03/28/24,12:41:53,12:00:00,22.1,36.50%
03/28/24,12:42:53,12:00:00,22.1,36.40%
03/28/24,12:43:53,12:00:00,22.1,36.20%
03/28/24,12:44:53,12:00:00,22.1,36.40%
03/28/24,12:45:53,12:00:00,22.1,36.30%
03/28/24,12:46:53,12:00:00,22.1,36.50%
03/28/24,12:47:53,12:00:00,22.1,36.50%
03/28/24,12:48:53,12:00:00,22.1,36.40%
03/28/24,12:49:53,12:00:00,22.1,36.00%
03/28/24,12:50:53,12:00:00,22.1,36.50%
03/28/24,12:51:53,12:00:00,22.1,36.40%
03/28/24,12:52:53,12:00:00,22.1,36.10%
03/28/24,12:53:53,12:00:00,22.1,35.80%
03/28/24,12:54:53,12:00:00,22.1,36.50%
03/28/24,12:55:53,12:00:00,22.1,36.40%
03/28/24,12:56:53,12:00:00,22.2,36.40%
03/28/24,12:57:53,12:00:00,22.1,36.20%
03/28/24,12:58:53,12:00:00,22.2,36.00%
03/28/24,12:59:53,12:00:00,22.1,36.10%
03/28/24,13:00:53,13:00:00,22.1,36.30%
03/28/24,13:01:53,13:00:00,22.2,36.50%
03/28/24,13:02:53,13:00:00,22.2,35.80%
03/28/24,13:03:53,13:00:00,22.2,36.00%
03/28/24,13:04:53,13:00:00,22.2,36.30%
03/28/24,13:05:53,13:00:00,22.2,35.90%
03/28/24,13:06:53,13:00:00,22.2,36.00%
03/28/24,13:07:53,13:00:00,22.2,36.20%
03/28/24,13:08:53,13:00:00,22.2,36.20%
03/28/24,13:09:53,13:00:00,22.2,36.20%
03/28/24,13:10:53,13:00:00,22.2,35.80%
03/28/24,13:11:53,13:00:00,22.2,35.70%
03/28/24,13:12:53,13:00:00,22.2,36.20%
03/28/24,13:13:53,13:00:00,22.2,36.20%
03/28/24,13:14:53,13:00:00,22.2,35.90%
03/28/24,13:15:53,13:00:00,22.2,36.20%
03/28/24,13:16:53,13:00:00,22.2,36.20%
03/28/24,13:17:53,13:00:00,22.2,36.10%
03/28/24,13:18:53,13:00:00,22.3,36.20%
03/28/24,13:19:53,13:00:00,22.3,35.90%
03/28/24,13:20:53,13:00:00,22.3,35.80%
03/28/24,13:21:53,13:00:00,22.3,35.90%
03/28/24,13:22:53,13:00:00,22.3,36.10%
03/28/24,13:23:53,13:00:00,22.3,35.70%
03/28/24,13:24:53,13:00:00,22.3,36.20%
03/28/24,13:25:53,13:00:00,22.3,36.10%
03/28/24,13:26:53,13:00:00,22.3,36.10%
03/28/24,13:27:53,13:00:00,22.3,36.10%
03/28/24,13:28:53,13:00:00,22.3,36.10%
03/28/24,13:29:53,13:00:00,22.3,36.00%
03/28/24,13:30:53,13:00:00,22.3,36.00%
03/28/24,13:31:53,13:00:00,22.4,36.00%
03/28/24,13:32:53,13:00:00,22.4,36.00%
03/28/24,13:33:53,13:00:00,22.4,36.10%
03/28/24,13:34:53,13:00:00,22.4,36.00%
03/28/24,13:35:53,13:00:00,22.4,35.80%
03/28/24,13:36:53,13:00:00,22.4,36.10%
03/28/24,13:37:53,13:00:00,22.4,35.90%
03/28/24,13:38:53,13:00:00,22.4,35.80%
03/28/24,13:39:53,13:00:00,22.4,35.50%
03/28/24,13:40:53,13:00:00,22.4,35.90%
03/28/24,13:41:53,13:00:00,22.4,35.50%
03/28/24,13:42:53,13:00:00,22.4,36.00%
03/28/24,13:43:53,13:00:00,22.4,35.70%
03/28/24,13:44:53,13:00:00,22.4,35.70%
03/28/24,13:45:53,13:00:00,22.4,35.70%
03/28/24,13:46:53,13:00:00,22.4,36.00%
03/28/24,13:47:53,13:00:00,22.4,35.80%
03/28/24,13:48:53,13:00:00,22.4,35.90%
03/28/24,13:49:53,13:00:00,22.4,36.00%
03/28/24,13:50:53,13:00:00,22.4,36.00%
03/28/24,13:51:53,13:00:00,22.4,36.00%
03/28/24,13:52:53,13:00:00,22.4,35.90%
03/28/24,13:53:53,13:00:00,22.4,35.70%
03/28/24,13:54:53,13:00:00,22.4,35.70%
03/28/24,13:55:53,13:00:00,22.4,35.90%
03/28/24,13:56:53,13:00:00,22.4,35.80%
03/28/24,13:57:53,13:00:00,22.4,35.70%
03/28/24,13:58:53,13:00:00,22.4,35.50%
